Data from user; Simon, class; 2, value len; 48
Data from user; benno, class; 1, value len; 48
Data from user; SLWalkandSit, class; 1, value len; 48
Data from user; SLWalkandSit, class; 1, value len; 48
Data from user; SLWalkandSit, class; 1, value len; 48
Data from user; SLWalkandSit, class; 1, value len; 48
Data from user; SLWalkandSit, class; 1, value len; 48
Data from user; SLWalkandSit, class; 1, value len; 48
Data from user; SLWalkandSit, class; 1, value len; 48
Data from user; SLWalkandSit, class; 1, value len; 48
Data from user; SLWalkandSit, class; 1, value len; 48
Data from user; KB-Fall, class; 2, value len; 48
Data from user; SLWalkandSit, class; 1, value len; 48
Data from user; SLWalkandSit, class; 1, value len; 48
Data from user; SLWalkandSit, class; 1, value len; 48
Data from user; SLWalkandSit, class; 1, value len; 48
Data from user; KB-Fall, class; 1, value len; 48
Data from user; SLWalkandSit, class; 1, value len; 48
Data from user; KB-Fall, class; 1, value len; 48
Data from user; SLWalkandSit, class; 1, value len; 48
Data from user; KB-Fall, class; 1, value len; 48
Data from user; SLWalkandSit, class; 1, value len; 48
Data from user; KB-Fall, class; 1, value len; 48
Data from user; SLWalkandSit, class; 1, value len; 48
Data from user; KB-Fall, class; 2, value len; 48
Data from user; SLWalkandSit, class; 1, value len; 48
Data from user; SLWalkandSit, class; 1, value len; 48
Data from user; SLWalkandSit, class; 1, value len; 48
Data from user; KB-Fall, class; 2, value len; 48
Data from user; Myndighederne, class; 1, value len; 12
Data from user; SLWalkandSit, class; 1, value len; 48
Data from user; Myndighederne, class; 1, value len; 12
Data from user; SLWalkandSit, class; 1, value len; 48
Data from user; KB-Fall, class; 2, value len; 48
Data from user; Myndighederne, class; 1, value len; 12
Data from user; SLWalkandSit, class; 1, value len; 48
Data from user; SLWalkandSit, class; 1, value len; 48
Data from user; KB-Fall, class; 2, value len; 48
Data from user; SLWalkandSit, class; 1, value len; 48
Data from user; SLWalkandSit, class; 1, value len; 48
Data from user; KB-Fall, class; 2, value len; 48
Data from user; SLWalkandSit, class; 1, value len; 48
Data from user; SLWalkandSit, class; 1, value len; 48
Data from user; KB-Fall, class; 2, value len; 48
Data from user; SLWalkandSit, class; 1, value len; 48
Data from user; SLWalkandSit, class; 1, value len; 48
Data from user; SLWalkandSit, class; 1, value len; 48
Data from user; KB-Fall, class; 2, value len; 48
Data from user; SLWalkandSit, class; 1, value len; 48
Data from user; SLWalkandSit, class; 1, value len; 48
Data from user; KB-Fall, class; 2, value len; 48
Data from user; SLWalkandSit, class; 1, value len; 48
Data from user; SLWalkandSit, class; 1, value len; 48
Data from user; KB-Fall, class; 2, value len; 48
Data from user; SLWalkandSit, class; 1, value len; 48
Data from user; SLWalkandSit, class; 1, value len; 48
Data from user; KB-Fall, class; 2, value len; 48
Data from user; SLWalkandSit, class; 1, value len; 48
Data from user; SLWalkandSit, class; 1, value len; 48
Data from user; SLWalkandSit, class; 1, value len; 48
Data from user; KB-Fall, class; 2, value len; 48
Data from user; SLWalkandSit, class; 1, value len; 48
Data from user; SLWalkandSit, class; 1, value len; 48
Data from user; KB-Fall, class; 2, value len; 48
Data from user; SLWalkandSit, class; 1, value len; 48
Data from user; SLWalkandSit, class; 1, value len; 48
Data from user; SLWalkandSit, class; 1, value len; 48
Data from user; KB-Fall, class; 2, value len; 48
Data from user; SLWalkandSit, class; 1, value len; 48
Data from user; KB-Fall, class; 2, value len; 48
Data from user; SLWalkandSit, class; 1, value len; 48
Data from user; SLWalkandSit, class; 1, value len; 48
Data from user; KB-Fall, class; 2, value len; 48
Data from user; SLWalkandSit, class; 1, value len; 48
Data from user; SLWalkandSit, class; 1, value len; 48
Data from user; KB-Fall, class; 2, value len; 48
Data from user; SLWalkandSit, class; 1, value len; 48
Data from user; SLWalkandSit, class; 1, value len; 48
Data from user; KB-Fall, class; 2, value len; 48
Data from user; SLWalkandSit, class; 1, value len; 48
Data from user; KB-Fall, class; 2, value len; 48
Data from user; SLWalkandSit, class; 1, value len; 48
Data from user; SLWalkandSit, class; 1, value len; 48
Data from user; SLWalkandSit, class; 1, value len; 48
Data from user; KB-Fall, class; 2, value len; 48
Data from user; SLWalkandSit, class; 1, value len; 48
Data from user; KB-Fall-t, class; 1, value len; 48
Data from user; X5KK, class; 2, value len; 12
Data from user; X5KB, class; 2, value len; 12
Data from user; X5SL, class; 2, value len; 12
Data from user; X5KK, class; 2, value len; 12
Data from user; X5KB, class; 2, value len; 12
Data from user; X4SL, class; 2, value len; 12
Data from user; X4KB, class; 2, value len; 12
Data from user; X4KK, class; 2, value len; 12
Data from user; X4SL, class; 2, value len; 12
Data from user; X4KB, class; 2, value len; 12
Data from user; X4KK, class; 2, value len; 12
Data from user; X4SL, class; 2, value len; 12
Data from user; X4KB, class; 2, value len; 12
